comment_text,toxic
"You are so stupid",1
"Nice explanation",0
"I hate you",1
"Great job",0
"You idiot",1
"Well done",0
"This is trash",1
"Excellent work",0
"You are amazing",0
"Bad idea",1
"Love your work",0
"Terrible explanation",1
"Keep it up",0
"You fool",1
"Fantastic example",0
"Such a stupid thought",1
"Awesome effort",0
"You are ugly",1
"Good job",0
"Idiot move",1
"You are genius",0
"Poor attempt",1
"Well explained",0
"Don’t be dumb",1
"Nice try",0
"You are lazy",1
"Great explanation",0
"This is nonsense",1
"Good effort",0
"Awful work",1
"Excellent explanation",0
"You are a jerk",1
"Brilliant work",0
"Stop being stupid",1
"Awesome idea",0
"Useless comment",1
"Nice project",0
"Don’t be an idiot",1
"Well done project",0
"Terrible attempt",1
"Keep up good work",0
"Stupid idea",1
"You are smart",0
"This is horrible",1
"Fantastic project",0
"You are dumb",1
"Great job again",0
"Idiot comment",1
"Excellent attempt",0
"You moron",1
"Nice work",0
"Awful explanation",1
"You are lazy idiot",1
"Great effort",0
"You fool again",1
"Well done again",0
"Terrible idea",1
"Excellent work again",0
"You are horrible",1
"Fantastic explanation",0
"Bad project",1
"Keep up the effort",0
"Don’t be stupid",1
"Good job today",0
"Stupid comment",1
"Awesome project",0
"You idiot again",1
"Brilliant explanation",0
"Poor work",1
"Nice example",0
"Awful project",1
"You are foolish",1
"Good effort today",0
"Idiot idea",1
"Excellent project",0
"Terrible work",1
"Fantastic idea",0
"Stop being dumb",1
"Great example",0
"You are a moron",1
"Well done example",0
"Awful attempt",1
"Awesome example",0
"You fool today",1
"Brilliant project",0
"Poor explanation",1
"Nice attempt",0
"Stupid project",1
"Fantastic effort",0
"Don’t be lazy",1
"Good project",0
"You are terrible",1
"Excellent idea",0
"Bad explanation",1
"Keep up good work",0
"Stupid work",1
"Great project again",0
"Idiot project",1
"Well done work",0
"You are foolish again",1
"Awesome work",0
"Terrible idea again",1
"Fantastic work",0